Dataset   Point Species  Nom      T_1           T_2           T_3           T_4           T_5           T_6           T_7           T_8           T_9           T_10
x00204002   3   HCN   0.0278562   0.0299401   0.0318245   0.031424   0.0310129   0.0305914   0.0301597   0.029718   0.0292667   0.0288057   0.0283355
x00204002   4   HCN   0.00744039   0.00986699   0.0124269   0.0118499   0.0112769   0.0107088   0.0101461   0.00958957   0.00903995   0.00849804   0.00796458
x00204002   5   HCN   0.00282871   0.00106946   0.000172076   0.000302454   0.000471349   0.000679846   0.000929094   0.00122039   0.00155481   0.00193354   0.00235777
x00204002   6   HCN   0.0237772   0.0323088   0.0419123   0.039691   0.0375187   0.0353957   0.0333253   0.0313061   0.0293405   0.0274303   0.0255755
x00204002   7   HCN   0.20853   0.183741   0.160647   0.165633   0.170703   0.175856   0.181092   0.186414   0.191818   0.197306   0.202876
x00204002   8   HCN   0.440721   0.40627   0.372936   0.380243   0.387607   0.395029   0.402508   0.410045   0.417633   0.425276   0.432972
x00204002   9   HCN   0.702017   0.665436   0.62889   0.636982   0.645094   0.653219   0.661359   0.669281   0.677447   0.685627   0.693816
x00204002   10   HCN   0.934475   0.899541   0.865015   0.872658   0.88032   0.887996   0.89569   0.903399   0.911133   0.918889   0.926666
x00204002   11   HCN   0.452115   0.424264   0.398831   0.404296   0.409867   0.415541   0.421329   0.42723   0.433256   0.439407   0.445691
x00204002   12   HCN   0.759391   0.690888   0.631422   0.643929   0.656829   0.670134   0.683861   0.698029   0.712648   0.727736   0.743312
x00204002   13   HCN   1.74414   1.53166   1.34931   1.38746   1.42693   1.46776   1.51   1.5537   1.59891   1.64569   1.69408
x00204002   14   HCN   4.09264   3.48153   2.96081   3.06946   3.18199   3.2986   3.41945   3.54474   3.67452   3.80897   3.9483
x00204002   15   HCN   8.89788   7.36609   6.07354   6.34198   6.62084   6.9105   7.21136   7.52375   7.84819   8.18512   8.53479
x00204002   16   HCN   0.585364   0.275815   0.0918353   0.123167   0.159739   0.201816   0.249656   0.303527   0.363727   0.430557   0.504332
x00204002   17   HCN   2.97644   1.90911   1.14071   1.28901   1.44957   1.6231   1.81022   2.01168   2.22822   2.46063   2.70975
x00204002   18   HCN   4.33398   2.73516   1.60016   1.81744   2.05381   2.31033   2.5881   2.88814   3.21149   3.55952   3.93335
x00204002   19   HCN   1.30731   15.7584   12.1527   12.9161   13.7021   14.5099   15.3376   16.1834   17.0452   17.9195   18.8023
x00204002   20   HCN   0.3195   0.284636   0.246352   0.255483   0.26449   0.273171   0.280661   0.289684   0.297536   0.304898   0.312351
x00204002   21   HCN   1.13152   1.11348   1.09678   1.10069   1.10415   1.10781   1.11174   1.11677   1.11773   1.12142   1.12428
x00204002   22   HCN   1.37227   1.35967   1.34908   1.35198   1.35442   1.35649   1.3587   1.36179   1.3646   1.36688   1.36987
x00204002   1   NO   0.0378401   0.0627186   0.0918969   0.0851402   0.0784783   0.0720096   0.0657443   0.059693   0.0538662   0.0482745   0.0429288
x00204002   2   NO   1.83135   1.52865   1.28099   1.33198   1.38499   1.44042   1.49871   1.55924   1.62282   1.68917   1.75877
x00204002   3   NO   5.17391   4.91177   4.5582   4.64395   4.72609   4.80323   4.87652   4.94586   5.00984   5.06902   5.12395
x00204002   4   NO   1.52236   1.66308   1.79555   1.76718   1.73827   1.70845   1.67851   1.64772   1.61684   1.58552   1.55414
x00204002   5   NO   0.0912305   0.125533   0.167562   0.157441   0.14786   0.13858   0.12981   0.121328   0.11323   0.105506   0.0982388
x00204002   6   NO   0.000312025   6.68E-05   0.00136414   0.000922031   0.000566232   0.000301796   0.000126357   2.61E-05   5.33E-07   4.32E-05   0.000146817
x00204002   7   NO   0.0807791   0.0851402   0.0905775   0.0892677   0.0879673   0.0867623   0.0856508   0.0845465   0.0835335   0.0826102   0.0816089
x00204002   8   NO   0.0610525   0.0606932   0.0606215   0.0606215   0.0606215   0.0606215   0.0606932   0.0606932   0.060765   0.0608368   0.0609805
x00204002   9   NO   0.0376983   0.0388406   0.04   0.0397086   0.0394762   0.0392445   0.0389558   0.0387256   0.0384962   0.0382103   0.0379254
x00204002   10   NO   0.0586305   0.0567422   0.0550213   0.0554319   0.0557752   0.0561886   0.0565343   0.0569505   0.0573682   0.0577875   0.0582082
x00204002   11   NO   0.0312541   0.0346993   0.0378686   0.0371899   0.0365173   0.0357955   0.035081   0.0343737   0.03362   0.0328218   0.0320332
x00204002   12   NO   0.00452919   0.00889373   0.0140172   0.0128334   0.0116703   0.0105325   0.00942458   0.00837826   0.00734336   0.00635337   0.00541352
x00204002   13   NO   0.109716   0.154723   0.202276   0.191615   0.180993   0.17031   0.159836   0.149581   0.139337   0.129246   0.119433
x00204002   14   NO   0.137375   0.0618789   0.0185624   0.0257333   0.0342353   0.0441948   0.0555622   0.0685357   0.0831223   0.0993921   0.117416
x00204002   15   NO   2.94646   2.22677   1.64994   1.76712   1.89032   2.01976   2.15607   2.29949   2.44983   2.60728   2.77306
x00204002   16   NO   0.309234   0.0176874   0.0660498   0.0299227   0.00765003   2.02E-07   0.00775518   0.0318171   0.0729979   0.13234   0.210716
x00204002   17   NO   0.000142207   0.819983   2.93233   2.3717   1.85993   1.40072   0.998452   0.657312   0.381842   0.176929   0.0477521
x00204002   18   NO   0.55   2.82648   14.5261   11.2992   8.39999   5.8653   3.73119   2.03675   0.824582   0.139786   0.0309424
x00204002   1   O2   1.70E-05   2.65E-05   3.62E-05   3.41E-05   3.19E-05   2.97E-05   2.76E-05   2.54E-05   2.33E-05   2.11E-05   1.91E-05
x00204002   2   O2   0.0189316   0.0210958   0.0227514   0.0224225   0.0220722   0.0216983   0.0213044   0.0208824   0.0204362   0.0199639   0.0194609
x00204002   3   O2   0.0159513   0.0240728   0.0335673   0.0313589   0.0292019   0.027102   0.0250679   0.023098   0.021197   0.0193722   0.0176242
x00204002   4   O2   0.015696   0.0212753   0.028224   0.0265512   0.0249546   0.0234318   0.0219777   0.020593   0.0192726   0.0180201   0.0168276
x00204002   5   O2   0.261838   0.269366   0.278511   0.276331   0.274242   0.272224   0.270297   0.268448   0.266687   0.264994   0.263378
x00204002   6   O2   0.404256   0.401275   0.399437   0.399738   0.400103   0.400532   0.40101   0.401552   0.402145   0.402789   0.403497
x00204002   7   O2   0.667481   0.655359   0.644018   0.646464   0.648963   0.651498   0.654071   0.65668   0.659328   0.661997   0.66472
x00204002   8   O2   0.743662   0.728161   0.712924   0.716289   0.719661   0.723041   0.726447   0.729877   0.733298   0.736745   0.740199
x00204002   9   O2   0.826561   0.811326   0.796019   0.799432   0.802834   0.806225   0.809624   0.813084   0.816461   0.819845   0.8232
x00204002   10   O2   0.741638   0.730863   0.719678   0.722196   0.724701   0.727176   0.729656   0.732089   0.734509   0.736915   0.739292
x00204002   11   O2   0.623031   0.617937   0.61224   0.613564   0.614843   0.616108   0.617327   0.618531   0.619706   0.62085   0.621948
x00204002   12   O2   0.53068   0.531158   0.530984   0.531071   0.531144   0.531173   0.531173   0.531144   0.531071   0.53097   0.530839
x00204002   13   O2   0.457326   0.463483   0.468864   0.467734   0.466564   0.465355   0.46412   0.462833   0.461507   0.460156   0.458767
x00204002   14   O2   0.295363   0.306629   0.317131   0.314872   0.312564   0.310221   0.307832   0.305418   0.30296   0.300468   0.297931
x00204002   15   O2   0.627737   0.658633   0.687893   0.681536   0.675095   0.668571   0.661964   0.655278   0.648514   0.641673   0.634757
x00204002   16   O2   1.31254   1.39388   1.47126   1.45441   1.43735   1.42011   1.40266   1.38504   1.3672   1.34918   1.33096
x00204002   17   O2   1.83677   2.02132   2.19815   2.15953   2.12054   2.08114   2.04134   2.00117   1.96064   1.9197   1.87843
x00204002   18   O2   1.48629   1.82842   2.17373   2.09708   2.0203   1.94351   1.86677   1.79011   1.71368   1.63748   1.56165
x00204002   19   O2   0.302894   0.131066   0.344996   0.291106   0.240666   0.193863   0.150961   0.112262   0.0781495   0.0491119   0.0258234
x00204002   20   O2   0.413545   0.494286   0.583802   0.562142   0.53953   0.52696   0.505033   0.487607   0.46689   0.44978   0.427534
x00204002   21   O2   1.22198   1.371   1.5229   1.48675   1.46526   1.41468   1.39534   1.35598   1.32607   1.29117   1.26624
x00204002   22   O2   2.09034   2.31134   2.51284   2.46893   2.40741   2.37442   2.31715   2.27662   2.23201   2.18849   2.15006
x00204003   39   CO   1.25E-26   7.22E-27   4.17E-27   4.71E-27   5.32E-27   6.01E-27   6.80E-27   7.68E-27   8.67E-27   9.80E-27   1.11E-26
x00204003   40   CO   1.30E-19   7.27E-20   4.10E-20   4.65E-20   5.28E-20   6.00E-20   6.82E-20   7.75E-20   8.82E-20   1.00E-19   1.14E-19
x00204003   41   CO   0.0223525   0.0118892   0.0063936   0.00733414   0.00841549   0.00965967   0.0110926   0.0127446   0.0146512   0.0168539   0.0194017
x00204003   44   CO   54.1084   103.033   171.14   154.278   138.408   123.527   109.623   96.6772   84.6731   73.5931   63.4132
x00204003   45   CO   7.28644   12.5102   20.1713   18.2216   16.4196   14.7577   13.2282   11.8225   10.5323   9.3499   8.27036
x00204003   46   CO   1.23509   0.698635   0.249333   0.335936   0.431407   0.533777   0.642443   0.755855   0.872773   0.992008   1.11324
x00204003   51   CO   1.97839   0.664835   10.4334   7.16171   4.54636   2.55423   1.15333   0.312732   0.00291716   0.195286   0.862564
x00204003   31   CO2   0.0374882   0.939847   5.01262   3.79118   2.75902   1.90556   1.221   0.69725   0.325463   0.0964774   0.00315582
x00204003   32   CO2   0.220589   1.31344   3.5402   2.93291   2.39319   1.91622   1.49984   1.14052   0.836027   0.582692   0.378476
x00204003   33   CO2   2.85723   4.06001   5.58485   5.21555   4.86437   4.52966   4.21303   3.9118   3.62649   3.35563   3.09967
x00204003   34   CO2   7.18824   8.24363   9.44135   9.16114   8.8895   8.6248   8.36832   8.11848   7.87652   7.64091   7.4102
x00204003   35   CO2   0.000181099   0.0109156   0.0397655   0.0316417   0.0245217   0.0183743   0.0131685   0.00887385   0.00542405   0.0028713   0.00112365
x00204003   36   CO2   1.26631   1.1596   1.05406   1.07731   1.1008   1.12404   1.14751   1.17123   1.19465   1.21831   1.24219
x00204003   37   CO2   1.02448   0.963828   0.903633   0.917101   0.930668   0.943863   0.95715   0.970529   0.984002   0.997568   1.01074
x00204003   38   CO2   1.8816   1.8246   1.76654   1.77951   1.79252   1.80493   1.81803   1.83053   1.84373   1.85631   1.86893
x00204003   1   O2   0.00277063   0.00277063   0.00277063   0.00277063   0.00277063   0.00277063   0.00277063   0.00277063   0.00277063   0.00277063   0.00277063
x00204003   2   O2   0.00380585   0.00380585   0.00380585   0.00380585   0.00380585   0.00380585   0.00380585   0.00380585   0.00380585   0.00380585   0.00380585
x00204003   3   O2   0.0393657   0.0402791   0.0410415   0.0408804   0.0407196   0.0405592   0.040359   0.0401993   0.04   0.0398012   0.039603
x00204003   4   O2   0.335593   0.353818   0.367441   0.364672   0.361793   0.358807   0.355477   0.352044   0.348394   0.344411   0.340104
x00204003   5   O2   1.21131   1.55021   1.85827   1.7932   1.72615   1.65705   1.58635   1.51376   1.43952   1.36436   1.28828
x00204003   6   O2   2.01273   2.75362   3.61378   3.41275   3.21747   3.0276   2.8435   2.66518   2.49294   2.32676   2.16661
x00204003   7   O2   3.0927   3.76553   4.54093   4.35916   4.18274   4.01195   3.84628   3.68564   3.53029   3.37974   3.23391
x00204003   8   O2   3.72817   4.21373   4.7472   4.62443   4.50369   4.38579   4.2707   4.15754   4.0467   3.93815   3.83224
